Condition,Drug,Indication,Type,Reviews,Effective,EaseOfUse,Satisfaction,Information
Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,994 Reviews,2.52,3.01,1.84,"
					Levofloxacin is used to treat a variety of bacterial infections. This is a generic drug. The average cash price for 10 Tablet(s), 500mg each of the generic (levofloxacin) is $172.99. You can buy levofloxacin at the discounted price of $47.08 by using the WebMDRx coupon, a savings of 73%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,994 Reviews,2.52,3.01,1.84,"
					Levofloxacin is used to treat a variety of bacterial infections. This is a generic drug. The average cash price for 10 Tablet(s), 500mg each of the generic (levofloxacin) is $172.99. You can buy levofloxacin at the discounted price of $47.08 by using the WebMDRx coupon, a savings of 73%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Moxifloxacin,On Label,RX,755 Reviews,2.78,3.00,2.08,"
					 This is a generic drug. The average cash price for 1 Bottle, 3ml of 0.5% each of the generic (moxifloxacin hcl) is $74.99. You can buy moxifloxacin hcl at the discounted price of $34.89 by using the WebMDRx coupon, a savings of 53%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,584 Reviews,3.21,4.01,2.57,"
					Azithromycin is an antibiotic (macrolide-type). This is a generic drug. The average cash price for 1 Disp Pack, 6 tablets each of the generic (azithromycin) is $32.10. You can buy azithromycin at the discounted price of $12.48 by using the WebMDRx coupon, a savings of 61%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,584 Reviews,3.21,4.01,2.57,"
					Azithromycin is an antibiotic (macrolide-type). This is a generic drug. The average cash price for 1 Disp Pack, 6 tablets each of the generic (azithromycin) is $32.10. You can buy azithromycin at the discounted price of $12.48 by using the WebMDRx coupon, a savings of 61%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,584 Reviews,3.21,4.01,2.57,"
					Azithromycin is an antibiotic (macrolide-type). This is a generic drug. The average cash price for 1 Disp Pack, 6 tablets each of the generic (azithromycin) is $32.10. You can buy azithromycin at the discounted price of $12.48 by using the WebMDRx coupon, a savings of 61%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,584 Reviews,3.21,4.01,2.57,"
					Azithromycin is an antibiotic (macrolide-type). This is a generic drug. The average cash price for 1 Disp Pack, 6 tablets each of the generic (azithromycin) is $32.10. You can buy azithromycin at the discounted price of $12.48 by using the WebMDRx coupon, a savings of 61%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,584 Reviews,3.21,4.01,2.57,"
					Azithromycin is an antibiotic (macrolide-type). This is a generic drug. The average cash price for 1 Disp Pack, 6 tablets each of the generic (azithromycin) is $32.10. You can buy azithromycin at the discounted price of $12.48 by using the WebMDRx coupon, a savings of 61%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,437 Reviews,3.26,3.23,2.42,"
					Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. This is a generic drug. You can buy amoxicillin-pot clavulanate at the discounted price of $20.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,437 Reviews,3.26,3.23,2.42,"
					Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. This is a generic drug. You can buy amoxicillin-pot clavulanate at the discounted price of $20.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,437 Reviews,3.26,3.23,2.42,"
					Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. This is a generic drug. You can buy amoxicillin-pot clavulanate at the discounted price of $20.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,361 Reviews,2.44,2.96,1.68,"
					Levofloxacin is used to treat a variety of bacterial infections. This is a generic drug. The average cash price for 10 Tablet(s), 500mg each of the generic (levofloxacin) is $172.99. You can buy levofloxacin at the discounted price of $47.08 by using the WebMDRx coupon, a savings of 73%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,361 Reviews,2.44,2.96,1.68,"
					Levofloxacin is used to treat a variety of bacterial infections. This is a generic drug. The average cash price for 10 Tablet(s), 500mg each of the generic (levofloxacin) is $172.99. You can buy levofloxacin at the discounted price of $47.08 by using the WebMDRx coupon, a savings of 73%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,353 Reviews,3.04,3.37,2.34,"
					Amoxicillin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 21 Capsule(s), 500mg  each, is $12.59. You can buy amoxicillin at the discounted price of $4.78 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,353 Reviews,3.04,3.37,2.34,"
					Amoxicillin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 21 Capsule(s), 500mg  each, is $12.59. You can buy amoxicillin at the discounted price of $4.78 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,353 Reviews,3.04,3.37,2.34,"
					Amoxicillin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 21 Capsule(s), 500mg  each, is $12.59. You can buy amoxicillin at the discounted price of $4.78 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,353 Reviews,3.04,3.37,2.34,"
					Amoxicillin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 21 Capsule(s), 500mg  each, is $12.59. You can buy amoxicillin at the discounted price of $4.78 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,222 Reviews,3.00,3.40,2.18,"
					Clarithromycin is used to treat a wide variety of bacterial respiratory tract infections. This is a generic drug. The average cash price for 28 Tablet(s), 500mg each of the generic (clarithromycin) is $99.49. You can buy clarithromycin at the discounted price of $59.12 by using the WebMDRx coupon, a savings of 41%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,222 Reviews,3.00,3.40,2.18,"
					Clarithromycin is used to treat a wide variety of bacterial respiratory tract infections. This is a generic drug. The average cash price for 28 Tablet(s), 500mg each of the generic (clarithromycin) is $99.49. You can buy clarithromycin at the discounted price of $59.12 by using the WebMDRx coupon, a savings of 41%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,222 Reviews,3.00,3.40,2.18,"
					Clarithromycin is used to treat a wide variety of bacterial respiratory tract infections. This is a generic drug. The average cash price for 28 Tablet(s), 500mg each of the generic (clarithromycin) is $99.49. You can buy clarithromycin at the discounted price of $59.12 by using the WebMDRx coupon, a savings of 41%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,140 Reviews,2.74,3.04,2.12,"
					Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. This is a generic drug. You can buy amoxicillin-pot clavulanate at the discounted price of $20.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,140 Reviews,2.74,3.04,2.12,"
					Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. This is a generic drug. You can buy amoxicillin-pot clavulanate at the discounted price of $20.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,140 Reviews,2.74,3.04,2.12,"
					Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. This is a generic drug. You can buy amoxicillin-pot clavulanate at the discounted price of $20.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,140 Reviews,2.74,3.04,2.12,"
					Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. This is a generic drug. You can buy amoxicillin-pot clavulanate at the discounted price of $20.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Erythromycin,On Label,RX,72 Reviews,2.11,2.79,1.32,"
					Erythromycin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 6 Tablet(s), 500mg each of the generic (erythromycin base) is $125.24. You can buy erythromycin base at the discounted price of $99.98 by using the WebMDRx coupon, a savings of 20%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Erythromycin,On Label,RX,72 Reviews,2.11,2.79,1.32,"
					Erythromycin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 6 Tablet(s), 500mg each of the generic (erythromycin base) is $125.24. You can buy erythromycin base at the discounted price of $99.98 by using the WebMDRx coupon, a savings of 20%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,Off Label,RX,43 Reviews,3.29,3.47,2.59,"
					Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 1 Bottle, 40 tablets extended release 12 hour each of the generic (amoxicillin-pot clavulanate er) is $287.37. You can buy amoxicillin-pot clavulanate er at the discounted price of $248.22 by using the WebMDRx coupon, a savings of 14%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,40 Reviews,3.29,3.71,2.86,"
					Clarithromycin is used to treat a wide variety of bacterial respiratory tract infections. This is a generic drug. The average cash price for 28 Tablet(s), 500mg each of the generic (clarithromycin) is $99.49. You can buy clarithromycin at the discounted price of $59.12 by using the WebMDRx coupon, a savings of 41%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,23 Reviews,3.29,4.43,3.00,"
					Levofloxacin is used to treat a variety of bacterial infections. This is a generic drug. The average cash price for 10 Tablet(s), 500mg each of the generic (levofloxacin) is $172.99. You can buy levofloxacin at the discounted price of $47.08 by using the WebMDRx coupon, a savings of 73%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,20 Reviews,4.00,4.50,3.70,"
					Azithromycin is an antibiotic (macrolide-type). This is a generic drug. The average cash price for 1 Disp Pack, 6 tablets each of the generic (azithromycin) is $32.10. You can buy azithromycin at the discounted price of $12.48 by using the WebMDRx coupon, a savings of 61%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
